part_ctx ;pb_source_variance(get_unsigned_bits) ;rd_ratio(sub1) ;rd_ratio(sub2) ;rd_ratio(sub3) ;rd_ratio(sub4) ;rd_ratio(sub5) ;rd_ratio(sub6) ;rd_ratio(sub7) ;rd_ratio(sub8) ;var_ratio(horz4)(sub1) ;var_ratio(horz4)(sub2) ;var_ratio(horz4)(sub3) ;var_ratio(horz4)(sub4) ;var_ratio(vert4)(sub1) ;var_ratio(vert4)(sub2) ;var_ratio(vert4)(sub3) ;var_ratio(vert4)(sub4) ;
3.000000;10.000000;0.731644;1.000000;0.604347;1.000000;0.288992;0.361211;0.271493;0.313411;2.324415;0.892977;0.307692;0.347826;0.180602;0.170569;0.454850;2.013378;12
3.000000;6.000000;0.517117;0.561669;0.513211;0.541971;0.245049;0.236153;0.269095;0.262991;0.767857;0.678571;0.803571;0.642857;0.446429;0.410714;1.285714;1.196429;6
3.000000;6.000000;0.533983;0.483814;0.508478;0.512116;0.254168;0.272191;0.235479;0.235806;1.444444;1.111111;0.422222;0.333333;0.511111;1.044444;0.377778;1.577778;6
3.000000;7.000000;0.499410;0.545597;0.490887;0.546999;0.229004;0.249671;0.248437;0.277044;0.389610;0.415584;1.220779;1.831169;0.688312;0.714286;0.948052;1.272727;6
3.000000;7.000000;0.492206;0.575169;0.537894;0.492592;0.248179;0.219367;0.287611;0.258251;0.480519;0.168831;0.493506;1.298701;0.350649;0.831169;1.363636;1.376623;6
3.000000;7.000000;0.578808;1.000000;0.589961;1.000000;0.282413;0.275747;0.302297;0.287156;0.565217;0.597826;0.423913;1.086957;0.478261;1.369565;0.804348;1.315217;9
3.000000;5.000000;0.499092;0.562921;0.548787;0.528153;0.235323;0.238674;0.281605;0.269916;0.900000;0.300000;1.050000;1.050000;1.500000;0.650000;0.600000;1.000000;6
3.000000;8.000000;0.510763;0.556870;0.481940;0.566062;0.217687;0.259679;0.246161;0.282026;0.371951;0.585366;0.713415;1.207317;0.280488;0.347561;0.774390;0.993902;6
3.000000;10.000000;0.496921;0.538153;0.525307;0.494633;0.246806;0.245438;0.273639;0.256572;0.100000;0.307345;0.225989;0.743503;0.323164;0.583051;1.144633;1.317514;6
5.000000;10.000000;0.477777;0.545138;0.483987;0.557029;0.222750;0.263806;0.254620;0.266451;0.168098;0.628221;0.121472;0.223313;1.387730;1.098160;0.788957;0.703067;6
3.000000;10.000000;0.533617;1.000000;0.558954;1.000000;0.248829;0.272206;0.295951;0.318747;0.100000;0.232941;0.451765;0.449412;0.528235;1.331765;1.098824;0.701176;9
3.000000;7.000000;0.524574;0.500532;0.501336;0.528896;0.239955;0.259112;0.242288;0.255473;0.747899;0.865546;1.168067;1.168067;0.487395;0.697479;1.184874;0.915966;6
3.000000;8.000000;0.524697;0.531214;0.521613;0.521638;0.241270;0.253276;0.248208;0.268866;0.521127;0.464789;0.821596;2.126760;0.122066;0.319249;0.131455;1.065728;6
3.000000;7.000000;0.545740;0.528429;0.504467;0.531158;0.255264;0.263937;0.238908;0.256455;1.287356;1.114943;0.804598;0.793103;0.137931;0.517241;0.344828;0.816092;6
3.000000;10.000000;0.543460;0.516156;0.493791;0.564987;0.217175;0.288665;0.244701;0.248156;0.844363;1.101716;1.101716;0.943627;0.100000;0.100000;0.450980;0.100000;6
3.000000;9.000000;0.626570;1.000000;0.576096;1.000000;0.306515;0.297447;0.259546;0.282032;0.300562;0.696629;1.471910;1.500000;0.286517;0.292135;0.162921;1.398876;9
3.000000;9.000000;0.517754;0.507510;0.569170;0.488566;0.281703;0.219416;0.254330;0.260974;1.899654;1.065744;0.349481;0.512111;0.951557;0.155709;0.100000;0.100000;6
3.000000;7.000000;0.554376;0.524220;0.496872;0.567099;0.258292;0.256160;0.228575;0.259789;0.543478;0.608696;1.293478;1.391304;0.173913;0.369565;0.413043;0.891304;6
3.000000;7.000000;0.524692;0.533436;0.514696;0.511849;0.260078;0.255934;0.255382;0.244544;1.395604;1.120879;0.846154;0.626374;0.109890;0.120879;0.100000;0.142857;6
3.000000;5.000000;0.556769;0.520814;0.511250;0.533104;0.243719;0.277414;0.240650;0.246435;1.277778;0.722222;0.944444;0.833333;0.500000;0.444444;0.388889;2.111111;6
3.000000;8.000000;0.655769;1.000000;0.590949;1.000000;0.320716;0.318419;0.269177;0.277655;1.636364;0.831169;0.759740;0.545455;1.110390;0.142857;0.129870;0.837662;9
3.000000;11.000000;0.726758;1.000000;0.689720;1.000000;0.311347;0.320997;0.325823;0.276820;0.100000;0.496341;1.099800;1.224218;0.100000;0.247505;1.118430;0.956088;12
3.000000;8.000000;0.486597;0.558134;0.530006;0.497481;0.240333;0.231780;0.277383;0.259092;0.460526;0.480263;0.697368;0.914474;1.355263;1.019737;0.651316;0.631579;6
3.000000;8.000000;0.526100;0.512976;0.528999;0.511258;0.242795;0.263256;0.267755;0.234223;0.403727;0.894410;0.583851;1.037267;0.614907;0.869565;0.757764;1.422360;6
3.000000;10.000000;0.568573;0.465879;0.540252;0.516574;0.283661;0.260238;0.239121;0.224423;0.588008;0.471954;0.259188;0.100000;1.208897;1.117988;0.746615;0.444874;6
3.000000;8.000000;0.573475;0.469688;0.548645;0.517437;0.284483;0.282485;0.228385;0.219636;1.966216;0.486486;0.101351;0.100000;1.337838;1.175676;0.378378;0.155405;6
3.000000;10.000000;0.615935;1.000000;0.596544;1.000000;0.289538;0.308338;0.281477;0.253630;0.327731;0.310924;0.727731;0.104202;1.085714;0.983193;0.690756;0.749580;9
3.000000;9.000000;0.551809;0.509550;0.521277;0.514136;0.255930;0.277483;0.238778;0.245610;0.837349;0.819277;0.325301;0.409639;0.825301;1.114458;0.831325;0.560241;6
3.000000;9.000000;0.538016;0.532172;0.491218;0.523767;0.255391;0.253942;0.232108;0.262252;0.898263;0.637717;0.838710;0.962779;0.424318;0.667494;0.662531;1.032258;6
3.000000;4.000000;0.565156;0.507621;0.513677;0.542133;0.265077;0.272364;0.230430;0.254400;1.461538;0.615385;0.846154;1.000000;0.461538;0.692308;0.923077;1.538462;6
3.000000;11.000000;0.482012;0.604171;0.404823;0.639666;0.170964;0.270165;0.212926;0.348988;0.303714;0.986890;1.031318;1.512017;0.100000;0.355426;2.554261;0.878369;6
