(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(rect1) ;(rect2) ;(rect3) ;(rect4) ;(rect5) ;(rect6) ;(rect7) ;(rect8) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;rate; dist; rdcost ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
7.275865;7.242798;5.673323;5.666427;5.869297;5.739793;5.993961;5.976351;5.891644;5.843544;6.513230;6.463029;6.625392;6.591674;6.526495;6.511745;6.580639;6.513230;0.940983;1.000000;1.000000;2.000000;0.000000;2.000000;2.000000;12.339707;8.741456;14.543965;1;20;0;6;1
7.443079;7.044905;6.056784;5.273000;5.918894;5.783825;5.407172;5.313206;5.981414;5.468060;6.815640;6.411819;6.720220;6.259582;6.590301;6.037871;6.850126;6.453625;0.940983;1.000000;2.000000;2.000000;1.000000;1.000000;2.000000;12.372968;8.571871;14.503613;1;20;4;6;1
6.758094;6.758094;5.298317;5.293305;4.962845;4.955827;5.075174;4.897840;5.361292;5.209486;6.023448;6.003887;5.955837;5.849325;5.905362;5.905362;5.934894;5.886104;0.940983;1.000000;1.000000;2.000000;1.000000;2.000000;2.000000;12.107080;8.680841;14.381366;1;16;8;6;1
6.957498;6.867974;5.164786;4.955827;5.433722;5.081404;5.613128;5.579730;5.877736;5.805135;6.073044;5.852202;6.445720;6.391917;6.035481;6.003887;6.304449;6.188264;0.940983;1.000000;1.000000;0.000000;1.000000;0.000000;2.000000;12.205728;8.658866;14.430156;1;16;12;6;1
7.210080;7.145196;6.198479;5.860786;5.517453;5.493062;5.828946;5.783825;5.252274;5.187386;6.606650;6.456769;6.336826;6.336826;6.792345;6.559615;6.137727;6.137727;0.940983;1.000000;0.000000;2.000000;1.000000;1.000000;2.000000;12.032171;8.817742;14.402656;1;20;8;6;1
7.826842;7.824446;5.525453;5.513429;6.548219;6.532334;6.077642;6.075346;6.740520;6.735780;7.029088;7.007601;7.216710;7.216710;6.542472;6.539586;7.377134;7.374002;0.940983;1.000000;2.000000;1.000000;1.000000;2.000000;2.000000;12.437291;8.568836;14.545566;1;20;12;6;1
7.523481;7.504942;6.120297;6.120297;5.883322;5.758902;6.322565;6.285998;6.061457;6.033086;6.775366;6.725034;6.886532;6.876265;6.949856;6.938284;6.648984;6.648984;0.940983;1.000000;1.000000;2.000000;0.000000;2.000000;2.000000;12.503359;8.577912;14.593483;1;24;0;6;1
7.249926;7.195187;5.758902;5.676754;5.805135;5.793014;5.855072;5.828946;6.030685;5.846439;6.489205;6.461468;6.621406;6.533789;6.641182;6.583409;6.499787;6.499787;0.940983;1.000000;1.000000;2.000000;1.000000;0.000000;2.000000;12.307465;8.710290;14.512136;1;24;4;6;1
7.175490;7.170888;6.126869;6.124683;5.488938;5.488938;5.564520;5.501258;5.700444;5.666427;6.549651;6.549651;6.381816;6.373320;6.605298;6.576469;6.300786;6.280396;0.940983;1.000000;0.000000;2.000000;0.000000;2.000000;2.000000;12.348752;8.550434;14.480342;1;28;0;6;1
7.370860;7.365180;5.545177;5.129899;5.472270;5.438079;5.783825;5.783825;5.802118;5.323010;6.439351;6.336826;6.734591;6.698268;6.246107;6.210600;6.428105;6.320768;0.940983;1.000000;0.000000;1.000000;1.000000;1.000000;2.000000;12.277109;8.589886;14.447902;1;28;4;6;1
