sequencia;parameter;cqs;yuvpsnr;ypsnr;upsnr;vpsnr;br;time(ms)
BlowingBubbles_416x240_50;set_disable_av1_ml_prune_rect_partition;20;39.228;40.218;42.774;44.485;1244640;617627;
BlowingBubbles_416x240_50;set_disable_prune_partitions_after_none;20;39.220;40.211;42.772;44.488;1243003;644168;
BlowingBubbles_416x240_50;set_disable_prune_partitions_after_split;20;39.215;40.205;42.755;44.480;1239566;642074;
BlowingBubbles_416x240_50;set_disable_prune_partitions_before_search;20;39.219;40.209;42.756;44.475;1236960;740848;
Cactus_1920x1080_50;orig;55;34.141;35.216;38.072;39.809;1056614;2451310;
Cactus_1920x1080_50;all_disable;55;34.137;35.213;38.059;39.829;1048867;3401819;
Cactus_1920x1080_50;set_disable_av1_ml_prune_rect_partition;55;34.140;35.215;38.068;39.813;1055884;2460032;
Cactus_1920x1080_50;set_disable_prune_partitions_after_none;55;34.141;35.216;38.072;39.809;1056614;2434650;
Cactus_1920x1080_50;set_disable_prune_partitions_after_split;55;34.140;35.215;38.068;39.813;1055884;2499784;
Cactus_1920x1080_50;set_disable_prune_partitions_before_search;55;34.132;35.208;38.067;39.817;1054156;3052078;
Cactus_1920x1080_50;orig;43;36.229;37.177;39.070;41.493;2141491;4446154;
Cactus_1920x1080_50;all_disable;43;36.229;37.179;39.065;41.528;2131588;6187496;
Cactus_1920x1080_50;set_disable_av1_ml_prune_rect_partition;43;36.229;37.178;39.071;41.508;2140876;4523141;
Cactus_1920x1080_50;set_disable_prune_partitions_after_none;43;36.229;37.177;39.070;41.493;2141491;4488899;
Cactus_1920x1080_50;set_disable_prune_partitions_after_split;43;36.229;37.178;39.071;41.508;2140876;4545984;
Cactus_1920x1080_50;set_disable_prune_partitions_before_search;43;36.224;37.174;39.075;41.504;2132155;5627282;
Cactus_1920x1080_50;orig;32;37.711;38.566;39.742;42.961;4280683;7313534;
Cactus_1920x1080_50;all_disable;32;37.708;38.565;39.746;42.976;4245475;11408896;
Cactus_1920x1080_50;set_disable_av1_ml_prune_rect_partition;32;37.712;38.566;39.743;42.956;4279080;7344863;
Cactus_1920x1080_50;set_disable_prune_partitions_after_none;32;37.711;38.566;39.742;42.961;4280683;7327226;
Cactus_1920x1080_50;set_disable_prune_partitions_after_split;32;37.712;38.566;39.743;42.956;4279080;7346803;
Cactus_1920x1080_50;set_disable_prune_partitions_before_search;32;37.709;38.565;39.743;42.962;4258300;10396420;
Cactus_1920x1080_50;orig;20;38.847;39.647;40.467;44.297;10684046;11550626;
Cactus_1920x1080_50;all_disable;20;38.847;39.648;40.473;44.301;10632897;14772131;
Cactus_1920x1080_50;set_disable_av1_ml_prune_rect_partition;20;38.847;39.647;40.470;44.294;10678291;11046068;
Cactus_1920x1080_50;set_disable_prune_partitions_after_none;20;38.849;39.648;40.469;44.294;10690939;11749405;
Cactus_1920x1080_50;set_disable_prune_partitions_after_split;20;38.847;39.647;40.470;44.294;10678291;11466201;
Cactus_1920x1080_50;set_disable_prune_partitions_before_search;20;38.844;39.645;40.469;44.295;10617076;13765172;
