(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
1.063066;0.969549;0.877723;0.935603;0.465024;0.411626;0.825257;1.004293;1.335868;1.359175;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-0.659350;-1.999311;1;6;12;3;
1.112210;0.831114;0.385876;0.406024;0.382071;0.558028;1.826200;1.402863;0.549856;0.633365;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-0.659350;-0.630633;1;6;14;3;
1.014410;1.011046;1.168831;1.161229;-0.158252;-0.122664;0.726180;0.767604;-0.343621;-0.289503;-1.771883;0.207888;-2.334861;-2.414709;-5.009924;0.692370;0.739610;1;8;0;9;
1.004445;0.995491;0.959907;0.990912;0.825348;0.638136;1.443151;1.513144;0.318792;0.068454;-1.731566;0.132947;-2.242367;-2.294948;-7.282178;0.087942;0.130838;1;8;0;6;
1.021993;1.060795;0.703395;0.538391;0.652855;0.515004;0.771655;0.873401;1.424863;1.407350;-1.696694;0.082757;-1.971053;-2.001890;-11.041567;-0.659350;-0.630633;1;8;0;3;
0.879649;0.681071;0.828536;0.314973;-0.402216;-0.274245;0.116893;0.154467;0.158017;0.342042;-1.696694;0.082757;-0.654236;-2.001890;0.090571;-0.659350;-0.630633;1;8;2;3;
1.552860;1.632466;1.618357;1.801086;1.743048;1.937987;1.678705;1.730373;1.032201;1.175442;-1.696694;0.082757;-0.654236;-0.685553;-11.041567;-0.659350;-0.630633;1;10;0;3;
0.342311;0.076066;-0.634003;-0.482287;-0.281718;-0.274245;0.093790;-0.004818;0.128352;0.295185;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-0.659350;-0.630633;1;10;2;3;
-0.323726;-0.287287;-0.714166;-0.633447;-0.854437;-0.773715;-0.336089;-0.271099;0.091545;0.092505;-1.731566;0.132947;-1.053427;-1.095221;0.137320;-1.101415;-1.072084;1;8;4;6;
-0.803354;-0.708720;-1.475032;-1.311131;-0.854044;-0.755512;-1.151244;-0.981057;-0.650433;-0.604420;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-0.659350;-0.630633;1;8;4;3;
-0.948396;-0.853975;-0.502944;-1.010440;-1.307139;-1.199735;-0.510318;-0.383545;-0.768659;-0.787215;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-2.005613;-0.630633;1;8;6;3;
-0.378726;-0.302830;-0.728597;-0.557777;-0.287212;-0.132057;-0.130821;-0.145122;-0.307047;-0.126898;-1.696694;0.082757;-1.971053;-0.685553;0.090571;-0.659350;-0.630633;1;10;4;3;
0.096091;0.102104;-1.177103;-1.010440;0.657595;0.806604;0.629830;0.757436;-0.403890;-0.224549;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-0.659350;-0.630633;1;10;6;3;
0.556340;0.596008;1.191893;1.273750;-0.401074;-0.343544;0.552852;0.602063;-0.754294;-0.679311;-1.731566;0.132947;-1.053427;-1.095221;-7.282178;0.087942;0.130838;1;12;0;6;
1.274943;1.368909;1.995474;2.063379;0.590294;0.232318;1.589758;1.659730;-0.083945;0.098063;-1.696694;0.082757;-0.654236;-0.685553;-11.041567;-0.659350;-0.630633;1;12;0;3;
-0.455019;-0.386269;-0.457468;-0.284136;0.012313;0.189241;-0.805450;-0.807267;-0.543012;-0.616722;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-0.659350;-0.630633;1;12;2;3;
0.586330;0.644253;1.511614;1.578184;-0.176448;-0.002351;0.398751;0.557151;-0.384535;-0.211469;-1.696694;0.082757;-0.654236;-0.685553;-11.041567;-0.659350;-0.630633;1;14;0;3;
-0.820366;-0.733489;-0.238596;-0.415006;-0.204725;-0.653537;-1.013360;-1.103714;-1.048826;-1.072696;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-0.659350;-0.630633;1;14;2;3;
-0.496006;-0.442622;-0.339039;-0.307557;-0.752888;-0.673745;-0.667177;-0.607117;-1.081894;-1.000511;-1.731566;0.132947;-1.053427;0.104506;0.137320;-1.101415;0.130838;1;12;4;6;
-0.394329;-0.353708;-0.634003;-0.524292;-0.457942;-0.430528;-0.518189;-0.350281;-0.243255;-0.483086;-1.696694;0.082757;-0.654236;0.630783;0.090571;-0.659350;0.738045;1;12;4;3;
