x+=1,parameter,cqs,block,time,count
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_4X4,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_4X8,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_8X4,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_8X8,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_8X16,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_16X8,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_16X16,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_16X32,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_32X16,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_32X32,0.631134,240
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_32X64,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_64X32,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_64X64,6.2838,960
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_64X128,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_128X64,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_128X128,79.5818,3360
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_4X16,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_16X4,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_8X32,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_32X8,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_16X64,0,0
BQMall_832x480_60,set_minpartitionsize128,55,BLOCK_64X16,0,0
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_4X4,0,0
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_4X8,0,0
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_8X4,0,0
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_8X8,0,0
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_8X16,0,0
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_16X8,0,0
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_16X16,54.8972,90450
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_16X32,43.7277,14148
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_32X16,30.058,10600
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_32X32,154.788,41934
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_32X64,6.40439,1428
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_64X32,7.75138,1791
