(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
5.384495;5.342334;4.025352;3.737670;4.543295;4.543295;4.521789;4.248495;3.761200;3.713572;0.940983;1.000000;1.000000;1.000000;1.000000;2.000000;2.000000;1;14;8;3;0
5.451038;5.451038;4.110874;4.110874;4.094345;4.007333;3.806663;3.806663;3.526361;3.367296;0.940983;1.000000;0.000000;1.000000;1.000000;0.000000;1.000000;1;14;10;3;0
7.155396;7.134094;5.572154;5.564520;5.726848;5.723585;5.771441;5.631212;5.723585;5.583496;0.940983;1.000000;1.000000;1.000000;1.000000;0.000000;2.000000;1;12;12;6;1
5.572154;5.564520;4.584968;4.584968;5.141664;4.595120;3.044523;3.044523;4.110874;4.094345;0.940983;1.000000;1.000000;1.000000;1.000000;0.000000;2.000000;1;12;12;3;0
5.726848;5.723585;4.262680;4.234107;4.488636;4.488636;3.637586;3.555348;3.713572;3.688879;0.940983;1.000000;1.000000;2.000000;1.000000;0.000000;1.000000;1;12;14;3;0
5.771441;5.631212;3.637586;3.433987;4.691348;3.970292;3.970292;3.951244;4.234107;3.970292;0.940983;1.000000;0.000000;1.000000;1.000000;0.000000;2.000000;1;14;12;3;0
5.723585;5.583496;3.951244;3.850147;4.624973;4.574711;4.304065;4.025352;4.574711;4.343805;0.940983;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1;14;14;3;0
11.820381;11.820358;9.161990;9.154722;10.491718;10.489662;8.774158;8.774158;10.409823;10.407047;0.940983;0.000000;4.000000;4.000000;1.000000;2.000000;1.000000;1;0;16;12;0
9.161990;9.154722;7.644919;7.638680;7.580189;7.564239;7.677864;7.649216;7.458763;7.456455;0.940983;0.000000;3.000000;3.000000;1.000000;2.000000;1.000000;1;0;16;9;0
7.644919;7.638680;6.234411;6.234411;6.541030;6.501290;5.860786;5.843544;5.846439;5.700444;0.940983;0.000000;2.000000;2.000000;1.000000;2.000000;1.000000;1;0;16;6;1
6.234411;6.234411;4.663439;4.477337;5.655992;5.556828;3.583519;3.496508;3.737670;3.465736;0.940983;0.000000;1.000000;1.000000;1.000000;2.000000;1.000000;1;0;16;3;0
6.541030;6.501290;5.888878;5.720312;5.393628;5.370638;3.610918;3.610918;4.905275;3.806663;0.940983;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;0;18;3;0
5.860786;5.843544;3.401197;3.218876;4.919981;4.912655;4.532599;4.465908;4.219508;4.143135;0.940983;1.000000;1.000000;1.000000;1.000000;2.000000;1.000000;1;2;16;3;0
5.846439;5.700444;4.927254;3.496508;4.094345;4.077538;4.477337;3.891820;4.356709;3.931826;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1;2;18;3;0
7.580189;7.564239;6.270988;6.244167;6.526495;6.278522;5.973810;5.869297;5.852202;5.808143;0.940983;0.000000;2.000000;2.000000;1.000000;2.000000;1.000000;1;0;20;6;0
6.270988;6.244167;4.564348;4.143135;4.875197;4.844187;4.110874;4.110874;3.637586;3.637586;0.940983;0.000000;1.000000;1.000000;1.000000;2.000000;1.000000;1;0;20;3;1
6.526495;6.278522;4.753590;4.488636;4.605170;4.532599;5.659482;5.283204;5.332719;4.454347;0.940983;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1;0;22;3;0
5.973810;5.869297;4.477337;4.442651;3.988984;3.688879;4.852030;4.852030;4.454347;3.713572;0.940983;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1;2;20;3;0
5.852202;5.808143;4.812184;3.931826;3.970292;3.951244;4.189655;3.951244;3.295837;3.135494;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;2;22;3;0
7.677864;7.649216;6.480044;6.115892;6.047372;6.047372;6.306275;6.194406;6.300786;6.295266;0.940983;1.000000;1.000000;1.000000;1.000000;2.000000;1.000000;1;4;16;6;0
6.480044;6.115892;4.941642;4.727388;4.317488;3.912023;5.030438;4.919981;4.727388;4.262680;0.940983;1.000000;1.000000;1.000000;1.000000;2.000000;1.000000;1;4;16;3;0
6.047372;6.047372;4.564348;4.454347;5.056246;5.043425;4.110874;4.043051;4.820282;4.762174;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1;4;18;3;0
6.306275;6.194406;5.129899;4.969813;5.176150;5.123964;5.111988;5.093750;4.248495;3.610918;0.940983;1.000000;1.000000;0.000000;1.000000;2.000000;1.000000;1;6;16;3;0
6.300786;6.295266;4.890349;4.682131;5.384495;5.298317;4.867535;4.510859;4.510859;4.465908;0.940983;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1;6;18;3;0
7.458763;7.456455;5.823046;5.771441;5.869297;5.869297;5.991465;5.986452;6.033086;6.021023;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;4;20;6;1
5.823046;5.771441;4.219508;4.174387;4.836282;4.644391;4.709530;4.595120;4.382027;4.290460;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;4;20;3;0
5.869297;5.869297;4.727388;4.532599;4.276666;4.060443;4.553877;4.532599;4.442651;4.430817;0.940983;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1;4;22;3;0
5.991465;5.986452;5.010635;4.976734;4.779123;4.762174;4.204693;4.204693;4.077538;4.060443;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;6;20;3;0
6.033086;6.021023;4.430817;4.430817;4.976734;4.962845;3.583519;3.583519;4.744932;4.736198;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;6;22;3;0
10.491718;10.489662;8.531293;8.522380;8.621553;8.596744;8.173575;8.168487;9.259130;9.259130;0.940983;0.000000;3.000000;3.000000;1.000000;1.000000;1.000000;1;0;24;9;0
8.531293;8.522380;7.304516;7.266129;7.471363;7.412764;6.075346;6.068426;6.687109;6.687109;0.940983;0.000000;2.000000;2.000000;1.000000;1.000000;1.000000;1;0;24;6;1
7.304516;7.266129;5.924256;5.556828;6.762730;6.755769;4.584968;4.584968;3.663562;3.637586;0.940983;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;0;24;3;0
7.471363;7.412764;6.066108;6.037871;5.056246;5.043425;5.680172;5.549076;6.688354;6.242223;0.940983;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1;0;26;3;0
6.075346;6.068426;4.727388;4.691348;4.219508;3.828641;4.465908;4.465908;4.867535;4.682131;0.940983;1.000000;1.000000;0.000000;1.000000;1.000000;0.000000;1;2;24;3;0
6.687109;6.687109;5.575949;5.572154;5.723585;5.700444;4.718499;4.584968;5.590987;5.298317;0.940983;1.000000;0.000000;1.000000;1.000000;1.000000;0.000000;1;2;26;3;0
8.621553;8.596744;7.297768;7.050123;6.735780;6.487684;7.645876;7.585281;7.015712;7.013016;0.940983;0.000000;2.000000;2.000000;1.000000;0.000000;1.000000;1;0;28;6;0
7.297768;7.050123;5.111988;4.110874;3.295837;3.258096;6.507277;6.499787;5.869297;5.771441;0.940983;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1;0;28;3;1
6.735780;6.487684;4.709530;4.624973;4.836282;4.644391;5.583496;5.398163;5.068904;4.700480;0.940983;0.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1;0;30;3;0
7.645876;7.585281;6.428105;6.368187;5.204007;4.663439;6.180017;5.552959;6.267200;5.978886;0.940983;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1;2;28;3;1
7.015712;7.013016;5.648974;5.568345;5.257495;5.204007;5.662961;5.313206;5.446737;5.402678;0.940983;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1;2;30;3;0
8.173575;8.168487;6.107023;6.104793;6.447306;6.406880;6.091310;6.089045;6.907755;6.901737;0.940983;1.000000;1.000000;0.000000;1.000000;1.000000;2.000000;1;4;24;6;1
6.107023;6.104793;4.276666;4.060443;5.030438;4.762174;4.406719;4.219508;4.477337;4.356709;0.940983;1.000000;1.000000;0.000000;1.000000;1.000000;2.000000;1;4;24;3;0
6.447306;6.406880;4.553877;4.553877;5.231109;5.141664;4.330733;4.262680;4.418840;4.418840;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;4;26;3;0
