sequencia;parameter;cqs;n_frame;frame_type;av1_encode_strategy_time;av1_get_second_pass_params_time;denoise_and_encode_time;apply_filtering_time;av1_tpl_setup_stats_time;encode_frame_to_data_rate_time;encode_with_recode_loop_time;loop_filter_time;cdef_time;loop_restoration_time;av1_pack_bitstream_final_time;av1_encode_frame_time;av1_compute_global_motion_time;av1_setup_motion_field_time;encode_sb_row_time;rd_pick_partition_time;av1_prune_partitions_time;none_partition_search_time;split_partition_search_time;rectangular_partition_search_time;ab_partitions_search_time;rd_pick_4partition_time;encode_sb_time;rd_pick_sb_modes_time;av1_rd_pick_intra_mode_sb_time;av1_rd_pick_inter_mode_sb_time;set_params_rd_pick_inter_mode_time;skip_inter_mode_time;handle_inter_mode_time;evaluate_motion_mode_for_winner_candidates_time;do_tx_search_time;handle_intra_mode_time;refine_winner_mode_tx_time;av1_search_palette_mode_time;handle_newmv_time;compound_type_rd_time;interpolation_filter_search_time;motion_mode_rd_time;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_after_split;55;59;INTER_FRAME;     73298162226 ;             147 ;     73298161496 ;        47401424 ;       972378020 ;     72278325521 ;     71953889995 ;        40883772 ;       104466721 ;       172362926 ;         6686441 ;     71940887435 ;        50916593 ;          171889 ;     71901553609 ;     71880575802 ;       354832074 ;     32900546334 ;     11456138210 ;     15464789150 ;     15849165579 ;      7117942952 ;        60139173 ;     70869382154 ;       245888121 ;     70615763316 ;       247724354 ;       172068157 ;     55928766787 ;          601507 ;      7745622444 ;      6288835330 ;         1613171 ;               0 ;      5908854722 ;     19047919500 ;      1316978474 ;      6101508436 ;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_before_search;55;59;INTER_FRAME;     76886768527 ;             144 ;     76886768145 ;        46015064 ;       956535788 ;     75884160608 ;     75575034817 ;        39072206 ;        99344225 ;       164207225 ;         6467445 ;     75560668980 ;        48382433 ;          163669 ;     75525266239 ;     75503281695 ;          751159 ;     31281307423 ;     12958062041 ;     26670015361 ;     10203627641 ;      7145159487 ;        57719944 ;     74844958369 ;       272850784 ;     74564617430 ;       241571160 ;       171236397 ;     59752441172 ;          549796 ;      7809204868 ;      6361763761 ;         1224000 ;               0 ;      5991412476 ;     20796961002 ;      1359155805 ;      6147416522 ;
CatRobot_3840x2160_60fps_10bit_420_jvet;orig;43;59;INTER_FRAME;     68308672703 ;             141 ;     68308672103 ;        42421357 ;       906250669 ;     67359945337 ;     67060997039 ;        33024210 ;       104289601 ;       153085306 ;         8494794 ;     67046811123 ;        46240935 ;          156191 ;     67013360178 ;     66992051996 ;       343101391 ;     36221656649 ;      9213406144 ;     17040868519 ;     10289752338 ;      2880408742 ;        73067213 ;     66031280881 ;       134691966 ;     65891108075 ;       195111919 ;       135914690 ;     52652817549 ;          439710 ;      7617811658 ;      5104153643 ;         1200860 ;               0 ;      4805498515 ;     14255000494 ;      1011505988 ;      4819934437 ;
CatRobot_3840x2160_60fps_10bit_420_jvet;all_disable;43;59;INTER_FRAME;     74844907891 ;             163 ;     74844907521 ;        38598268 ;       812493128 ;     73993766908 ;     73720647551 ;        30040506 ;        94891580 ;       140519493 ;         7615002 ;     73708791391 ;        42478044 ;          142494 ;     73676987183 ;     73658572416 ;          620332 ;     33442722758 ;     12076672535 ;     27158156694 ;      6041470849 ;      6838664430 ;        65667139 ;     73072121565 ;       117147816 ;     72948268752 ;       201112709 ;       139282796 ;     57870931619 ;          470473 ;      8473857939 ;      6076657984 ;         1086138 ;               0 ;      5084521608 ;     16093942105 ;      1067966927 ;      4986651977 ;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_av1_ml_prune_rect_partition;43;59;INTER_FRAME;     62736005585 ;             138 ;     62736005226 ;        38440243 ;       810042437 ;     61887473489 ;     61616495472 ;        30150684 ;        95106607 ;       138122441 ;         7567571 ;     61604741920 ;        41855378 ;          142600 ;     61573442133 ;     61555132314 ;       313454914 ;     33150916676 ;      8529698303 ;     15817170692 ;      9390063089 ;      2703092601 ;        65773777 ;     60702180995 ;       107369012 ;     60589858143 ;       180204636 ;       123038133 ;     48322434745 ;          431534 ;      7031809535 ;      4759342036 ;         1029780 ;               0 ;      4357444323 ;     13205666784 ;       925634245 ;      4405996099 ;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_after_none;43;59;INTER_FRAME;     62870018431 ;             137 ;     62870018072 ;        38850332 ;       832692882 ;     61998426020 ;     61724737721 ;        30250245 ;        95027353 ;       140725573 ;         7654192 ;     61712873593 ;        42238776 ;          143396 ;     61681292270 ;     61662843394 ;       317561896 ;     33326824173 ;      8484914882 ;     15752861163 ;      9429095791 ;      2641646604 ;        66324150 ;     60786426978 ;       110775969 ;     60670788738 ;       179136764 ;       122248170 ;     48527518297 ;          422333 ;      6981773503 ;      4688472492 ;          958339 ;               0 ;      4413545196 ;     13121997182 ;       925078291 ;      4376014906 ;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_after_split;43;59;INTER_FRAME;     62643799108 ;             147 ;     62643798747 ;        40118242 ;       819724934 ;     61783905900 ;     61513527447 ;        30091515 ;        94970620 ;       137573256 ;         7712889 ;     61501730280 ;        42053364 ;          143704 ;     61470273892 ;     61451902883 ;       312557753 ;     33107319011 ;      8506781870 ;     15773717635 ;      9383342179 ;      2699079848 ;        65567039 ;     60601809825 ;       110192866 ;     60486622465 ;       176313845 ;       121053052 ;     48185251275 ;          409923 ;      7057261046 ;      4776217642 ;          942043 ;               0 ;      4317472436 ;     13184723306 ;       920612452 ;      4419846099 ;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_before_search;43;59;INTER_FRAME;     72358622243 ;             136 ;     72358621906 ;        39885819 ;       846961529 ;     71471725747 ;     71197506675 ;        30199674 ;        95312424 ;       141025960 ;         7650669 ;     71185598557 ;        42432742 ;          143653 ;     71153874492 ;     71135368759 ;          722684 ;     33445333063 ;     11315316679 ;     25578715753 ;      6194119684 ;      5716123738 ;        66016310 ;     70536519032 ;       111295461 ;     70419486998 ;       194330041 ;       131152394 ;     55897571694 ;          430848 ;      8336259619 ;      5680465701 ;         1036081 ;               0 ;      4902599848 ;     15730700748 ;      1054783629 ;      4896133336 ;
CatRobot_3840x2160_60fps_10bit_420_jvet;orig;32;60;INTER_FRAME;     38022020969 ;             155 ;     38022020595 ;        33865331 ;       805542156 ;     37182551244 ;     36895576324 ;        30408901 ;       104043444 ;       140973523 ;        11517852 ;     36883868892 ;        44596893 ;          153189 ;     36849703047 ;     36831236781 ;       529817808 ;     24526350149 ;      3753048247 ;      9427425883 ;      1708992463 ;       432858923 ;        87374081 ;     35803139538 ;       107910592 ;     35692363076 ;       125870654 ;        87259478 ;     28976634059 ;          291523 ;      4662107189 ;      1720502311 ;          663516 ;               0 ;      2376958250 ;      9022438677 ;       630938697 ;      2836901612 ;
CatRobot_3840x2160_60fps_10bit_420_jvet;all_disable;32;60;INTER_FRAME;     68886547408 ;             128 ;     68886547085 ;        31719576 ;       746714058 ;     68108056305 ;     67839689288 ;        27570231 ;        97937939 ;       132297211 ;        10532246 ;     67828643457 ;        41891015 ;          141863 ;     67796612166 ;     67779185093 ;          571314 ;     34309275063 ;     10424277288 ;     24771748908 ;      3093839536 ;      5423574509 ;        79365795 ;     67212030053 ;       106443189 ;     67100197183 ;       184392361 ;       133964084 ;     54555391034 ;          450177 ;      8831139439 ;      3211721850 ;         1127853 ;               0 ;      3861293964 ;     15678225175 ;       985049310 ;      4965552890 ;
